price,title,url
"Rs 20,000",Play station3 PS3,https://www.olx.com.pk/item/play-station3-ps3-IDWN36h.html
"Rs 34,500",( BRAND NEW PS4 SLIM 500GB ) at MY Games.,https://www.olx.com.pk/item/brand-new-ps4-slim-500gb-at-my-games-IDUS5Yy.html
"Rs 25,000",Aqustic Guitar,https://www.olx.com.pk/item/aqustic-guitar-IDWN3C0.html
"Rs 16,500",Modified PS vita slim almost new at MY GAMES !,https://www.olx.com.pk/item/modified-ps-vita-slim-almost-new-at-my-games-IDWci2a.html
"Rs 37,500",Brand new xbox360 250gb slim j-tg ava at MY Games.,https://www.olx.com.pk/item/brand-new-xbox360-250gb-slim-j-tg-ava-at-my-games-IDUByEx.html
"Rs 19,500",Xbox 360  for sell,https://www.olx.com.pk/item/xbox-360-for-sell-IDWN30k.html
"Rs 28,000",Xbox one 500Gb,https://www.olx.com.pk/item/xbox-one-500gb-IDWN395.html
"Rs 31,500",Xbox360 e 4gb full box.brand new,https://www.olx.com.pk/item/xbox360-e-4gb-full-box-brand-new-IDTW0Ip.html
"Rs 1,650",Rechargeable batteries for xbox360 9000 mAh original from Microsoft.,https://www.olx.com.pk/item/rechargeable-batteries-for-xbox360-9000-mah-original-from-microsoft-IDUfert.html
"Rs 3,000",Gta 5 ps4 region all,https://www.olx.com.pk/item/gta-5-ps4-region-all-IDWN38n.html
"Rs 15,000",Riley original cue made in england,https://www.olx.com.pk/item/riley-original-cue-made-in-england-IDWN3ad.html
"Rs 3,500",Xbox One 2 Games,https://www.olx.com.pk/item/xbox-one-2-games-IDWN3d6.html
"Rs 1,850",Xbox1 genuine dock station available at MY GAMES !,https://www.olx.com.pk/item/xbox1-genuine-dock-station-available-at-my-games-IDWKBVh.html
"Rs 8,000",Ps4 call of duty ww2 pro edition,https://www.olx.com.pk/item/ps4-call-of-duty-ww2-pro-edition-IDWN3hh.html
"Rs 1,500",The Crew Ps4 Cheap (Limited Edition),https://www.olx.com.pk/item/the-crew-ps4-cheap-limited-edition-IDWN3kp.html
"Rs 19,500",Best prices of xbox360 only at MY GAMES !,https://www.olx.com.pk/item/best-prices-of-xbox360-only-at-my-games-IDWMOK3.html
"Rs 36,800",Brand New Ps4 Slim 1tb Or 500gb At My Games Please Visit Us,https://www.olx.com.pk/item/brand-new-ps4-slim-1tb-or-500gb-at-my-games-please-visit-us-IDUZA26.html
"Rs 3,500",DOOM (Xbox One),https://www.olx.com.pk/item/doom-xbox-one-IDWN3np.html
"Rs 18,500",Nintendo Wii 10/10 condition,https://www.olx.com.pk/item/nintendo-wii-10-10-condition-IDWN3oy.html
"Rs 4,000",Assassin's creed origins ps4,https://www.olx.com.pk/item/assassins-creed-origins-ps4-IDWMZ73.html
"Rs 1,000",Antivirus Registered Life Time,https://www.olx.com.pk/item/antivirus-registered-life-time-IDWF9Nk.html
"Rs 6,800","Pc, Xbox360 Steering Wheel At My Games ! Bahria Ph 7",https://www.olx.com.pk/item/pc-xbox360-steering-wheel-at-my-games-bahria-ph-7-IDWkdVd.html
"Rs 8,000",P3 racing wheel pro (PS301),https://www.olx.com.pk/item/p3-racing-wheel-pro-ps301-IDWN2C1.html
"Rs 35,800",Sealed ps4 white color latest model.wd warranty.call and take it.,https://www.olx.com.pk/item/sealed-ps4-white-color-latest-model-wd-warranty-call-and-take-it-IDTTXXj.html
"Rs 2,500",STORMX 5mb best gaming mouses 8200 dpi,https://www.olx.com.pk/item/stormx-5mb-best-gaming-mouses-8200-dpi-IDUvWxf.html
"Rs 3,600",Ps3 special edition controller ava at MY GAMES,https://www.olx.com.pk/item/ps3-special-edition-controller-ava-at-my-games-IDUx68u.html
"Rs 18,000",Ps3 Super Slim New,https://www.olx.com.pk/item/ps3-super-slim-new-IDWN2F0.html
Rs 500,GTA 5 Full PC Game (READ AD),https://www.olx.com.pk/item/gta-5-full-pc-game-read-ad-IDWEf1f.html
"Rs 1,500",MY Games offering ps4 games exchange !,https://www.olx.com.pk/item/my-games-offering-ps4-games-exchange-IDWG3ib.html
"Rs 20,000",Xbox 360 250gb Jtagged,https://www.olx.com.pk/item/xbox-360-250gb-jtagged-IDWN2CW.html
"Rs 2,500",Ps3 best games in mint condition. MY GAMES !,https://www.olx.com.pk/item/ps3-best-games-in-mint-condition-my-games-IDTN3r5.html
"Rs 1,500",Fifa 17 ps4,https://www.olx.com.pk/item/fifa-17-ps4-IDWN2Hx.html
"Rs 1,700",FIFA 17 PS4 Game,https://www.olx.com.pk/item/fifa-17-ps4-game-IDWN2HC.html
"Rs 13,500",Arcade fight stick for all gaming machines !,https://www.olx.com.pk/item/arcade-fight-stick-for-all-gaming-machines-IDWKC2v.html
"Rs 3,800",Xbox360 original PAL gmz at MY GAMES in bahria.,https://www.olx.com.pk/item/xbox360-original-pal-gmz-at-my-games-in-bahria-IDUuU2a.html
"Rs 1,500",Evil within,https://www.olx.com.pk/item/evil-within-IDWN2K9.html
Rs 200,Sony Play Station 3 Without Any Ps3 All Models Gamez INSTL,https://www.olx.com.pk/item/sony-play-station-3-without-any-ps3-all-models-gamez-instl-IDWN2IN.html
"Rs 2,000",Titan fall Xbox one,https://www.olx.com.pk/item/titan-fall-xbox-one-IDWN2Mk.html
"Rs 4,950",Brand New XBOX360 Original wireless controllers . sealed.,https://www.olx.com.pk/item/brand-new-xbox360-original-wireless-controllers-sealed-IDUgTl3.html
"Rs 2,200",Dongel for Mira display to see the mobile on tv led lcd Oled,https://www.olx.com.pk/item/dongel-for-mira-display-to-see-the-mobile-on-tv-led-lcd-oled-IDUGX13.html
"Rs 38,800",PS4 Slim GTA5 bundle ! Sealed box,https://www.olx.com.pk/item/ps4-slim-gta5-bundle-sealed-box-IDWbpro.html
"Rs 1,500",Chess Game tuch screen,https://www.olx.com.pk/item/chess-game-tuch-screen-IDWhfdg.html
"Rs 31,500","PS 4,Sony Playstation 4, Reg 2, Excellent condition and 2 latest games",https://www.olx.com.pk/item/ps-4-sony-playstation-4-reg-2-excellent-condition-and-2-latest-games-IDWN2Qk.html
"Rs 5,500",Xbox1 gmz r ava in isb or rwp.,https://www.olx.com.pk/item/xbox1-gmz-r-ava-in-isb-or-rwp-IDUl7tT.html
Rs 200,The Evil Within 2,https://www.olx.com.pk/item/the-evil-within-2-IDWBNOb.html
Rs 300,Middle-Earth:Shadow Of War,https://www.olx.com.pk/item/middle-earthshadow-of-war-IDWBkPF.html
Rs 300,Sniper Elite 4 Pc,https://www.olx.com.pk/item/sniper-elite-4-pc-IDWvYpD.html
"Rs 13,000",Xbox 360 slim 250gb with 20 games,https://www.olx.com.pk/item/xbox-360-slim-250gb-with-20-games-IDWKncf.html
"Rs 10,000",Xbox 360 Jasper Model 2009,https://www.olx.com.pk/item/xbox-360-jasper-model-2009-IDWCG9z.html
"Rs 2,500",Ghost recon wildlands,https://www.olx.com.pk/item/ghost-recon-wildlands-IDWN217.html
"Rs 23,000",Playstation 3,https://www.olx.com.pk/item/playstation-3-IDWdtl2.html
"Rs 2,200",Final fantasy xv for ps4.,https://www.olx.com.pk/item/final-fantasy-xv-for-ps4-IDWN24G.html
"Rs 5,000",Mario odyssey,https://www.olx.com.pk/item/mario-odyssey-IDWMhek.html
"Rs 6,500",PS3 guitar hero world tour,https://www.olx.com.pk/item/ps3-guitar-hero-world-tour-IDWMhft.html
"Rs 2,000",Battlefield 1 ultimate bf4 premium titanfall2,https://www.olx.com.pk/item/battlefield-1-ultimate-bf4-premium-titanfall2-IDWMyWK.html
